Date,Price,Open,High,Low,Vol.,Change %
2016-08-03,640.77,638.32,640.77,635.58,,0.25%
2016-08-02,639.15,648.41,648.41,637.96,,-1.46%
2016-08-01,648.63,647.92,650.55,645.53,,0.13%
2016-07-29,647.81,646.6,648.82,645.25,,0.09%
2016-07-28,647.23,645.29,647.97,641.95,,0.23%
2016-07-27,645.72,648.31,649.97,643.57,,-0.34%
2016-07-26,647.93,649.05,651.13,645.77,,-0.16%
2016-07-25,649,648.43,649.02,646.94,,0.13%
2016-07-22,648.13,645.27,648.62,644.49,,0.47%
2016-07-21,645.08,646.77,647.98,643.26,,-0.25%
2016-07-20,646.72,645.53,647.18,643.07,,0.39%
2016-07-19,644.18,644.86,644.86,641.63,,-0.18%
2016-07-18,645.36,643.76,647.22,642.79,,0.32%
2016-07-15,643.3,646.32,647.39,642.61,,-0.45%
2016-07-14,646.22,644.3,649.05,644.3,,0.41%
2016-07-13,643.6,646.65,647.23,641.89,,-0.48%
2016-07-12,646.68,644.86,648.13,644.86,,0.46%
2016-07-11,643.73,640.92,645.52,640.92,,0.56%
2016-07-08,640.15,629.8,640.65,629.8,,1.75%
2016-07-07,629.11,626.7,629.13,625.78,,0.40%
2016-07-06,626.63,620.59,626.67,617.63,,0.84%
2016-07-05,621.38,624.98,624.98,617.71,,-0.73%
2016-07-01,625.95,620.99,628.01,620.87,,0.89%
2016-06-30,620.41,616.37,620.53,613.77,,0.75%
2016-06-29,615.77,607.26,616.89,607.26,,1.64%
2016-06-28,605.84,598.37,605.86,598.37,,1.91%
2016-06-27,594.49,603.15,603.15,589.71,,-1.85%
2016-06-24,605.69,625.73,625.73,604,,-3.62%
2016-06-23,628.46,624.49,628.46,624.49,,0.95%
2016-06-22,622.57,623.84,627.34,622.16,,-0.17%
2016-06-21,623.64,625.22,626.19,622.28,,-0.20%
2016-06-20,624.92,620.14,630.58,620.14,,0.87%
2016-06-17,619.51,620.4,621.43,618.33,,-0.15%
2016-06-16,620.42,617.07,621.04,611.79,,0.38%
2016-06-15,618.1,617.35,623.37,617.35,,0.26%
2016-06-14,616.47,617.1,618.92,612.77,,-0.26%
2016-06-13,618.08,621.73,624.88,617.84,,-0.63%
2016-06-10,621.97,625.53,625.53,620.07,,-1.03%
2016-06-09,628.46,629.12,629.12,625.88,,-0.20%
