Date,Price,Open,High,Low,Vol.,Change %
2014-11-17,"4,671.00","4,678.44","4,689.53","4,655.19",429.26M,-0.37%
2014-11-14,"4,688.54","4,679.85","4,688.74","4,664.31",433.43M,0.18%
2014-11-13,"4,680.14","4,681.56","4,703.10","4,664.27",457.99M,0.11%
2014-11-12,"4,675.14","4,644.63","4,678.58","4,643.78",447.41M,0.31%
2014-11-11,"4,660.56","4,649.19","4,661.23","4,640.24",411.43M,0.19%
2014-11-10,"4,651.62","4,635.10","4,653.38","4,626.49",471.19M,0.41%
2014-11-07,"4,632.53","4,636.89","4,638.80","4,606.81",475.31M,-0.13%
2014-11-06,"4,638.47","4,616.78","4,639.17","4,604.76",482.30M,0.38%
2014-11-05,"4,620.72","4,649.47","4,650.39","4,607.73",497.48M,-0.06%
2014-11-04,"4,623.64","4,623.77","4,635.95","4,594.91",480.85M,-0.33%
2014-11-03,"4,638.91","4,633.71","4,654.19","4,627.42",522.97M,0.18%
2014-10-31,"4,630.74","4,639.45","4,641.51","4,616.58",659.76M,1.41%
2014-10-30,"4,566.14","4,532.10","4,575.50","4,521.79",516.18M,0.37%
2014-10-29,"4,549.23","4,551.37","4,564.44","4,517.02",543.05M,-0.33%
2014-10-28,"4,564.29","4,505.73","4,564.29","4,505.11",507.39M,1.75%
2014-10-27,"4,485.93","4,469.02","4,489.60","4,450.29",413.39M,0.05%
2014-10-24,"4,483.72","4,459.46","4,486.26","4,445.85",446.47M,0.69%
2014-10-23,"4,452.79","4,427.44","4,475.55","4,421.56",508.53M,1.60%
2014-10-22,"4,382.85","4,429.16","4,435.86","4,381.28",501.41M,-0.83%
2014-10-21,"4,419.48","4,359.17","4,419.48","4,356.10",492.35M,2.40%
2014-10-20,"4,316.07","4,254.16","4,316.87","4,248.22",456.92M,1.35%
2014-10-17,"4,258.44","4,275.09","4,296.11","4,241.67",667.36M,0.97%
2014-10-16,"4,217.39","4,133.25","4,246.01","4,131.65",692.06M,0.05%
2014-10-15,"4,215.32","4,154.10","4,231.54","4,116.60",794.03M,-0.28%
2014-10-14,"4,227.17","4,246.23","4,281.34","4,212.82",652.38M,0.32%
2014-10-13,"4,213.66","4,274.90","4,303.82","4,212.86",631.03M,-1.46%
2014-10-10,"4,276.24","4,354.63","4,380.51","4,276.24",714.33M,-2.33%
2014-10-09,"4,378.34","4,458.29","4,464.13","4,377.28",552.97M,-2.02%
2014-10-08,"4,468.59","4,385.70","4,473.73","4,355.34",595.04M,1.90%
2014-10-07,"4,385.20","4,433.91","4,441.76","4,385.15",510.60M,-1.56%
2014-10-06,"4,454.80","4,492.40","4,496.26","4,444.10",463.15M,-0.47%
2014-10-03,"4,475.62","4,456.81","4,488.07","4,445.72",459.89M,1.03%
2014-10-02,"4,430.19","4,421.25","4,441.95","4,367.74",512.30M,0.18%
2014-10-01,"4,422.09","4,486.65","4,486.79","4,409.30",575.57M,-1.59%
2014-09-30,"4,493.39","4,512.64","4,522.06","4,483.91",573.84M,-0.28%
2014-09-29,"4,505.85","4,465.84","4,515.24","4,464.44",432.41M,-0.14%
2014-09-26,"4,512.19","4,476.48","4,515.74","4,475.48",409.65M,1.02%
2014-09-25,"4,466.75","4,540.82","4,546.93","4,466.64",490.17M,-1.94%
2014-09-24,"4,555.22","4,514.92","4,557.27","4,500.13",430.45M,1.03%
2014-09-23,"4,508.69","4,511.32","4,536.03","4,508.42",461.87M,-0.42%
2014-09-22,"4,527.69","4,568.45","4,568.87","4,513.12",471.72M,-1.14%
2014-09-19,"4,579.79","4,606.13","4,610.57","4,563.44",1.20B,-0.30%
2014-09-18,"4,593.43","4,575.74","4,593.98","4,572.62",430.26M,0.68%
2014-09-17,"4,562.19","4,553.96","4,582.40","4,539.36",441.01M,0.21%
2014-09-16,"4,552.76","4,502.11","4,558.24","4,499.87",467.05M,0.75%
2014-09-15,"4,518.90","4,567.45","4,567.47","4,506.73",463.55M,-1.07%
2014-09-12,"4,567.60","4,588.77","4,590.08","4,555.68",440.81M,-0.53%
2014-09-11,"4,591.81","4,567.64","4,591.81","4,559.75",407.26M,0.12%
2014-09-10,"4,586.52","4,554.15","4,587.10","4,544.84",426.46M,0.75%
2014-09-09,"4,552.28","4,588.83","4,599.03","4,544.44",455.94M,-0.87%
2014-09-08,"4,592.28","4,579.06","4,600.40","4,570.23",412.63M,0.20%
2014-09-05,"4,582.90","4,560.63","4,583.00","4,542.74",403.42M,0.45%
2014-09-04,"4,562.29","4,581.52","4,603.15","4,553.31",411.00M,-0.22%
2014-09-03,"4,572.56","4,610.14","4,610.14","4,565.38",456.17M,-0.56%
2014-09-02,"4,598.19","4,592.42","4,598.64","4,576.81",445.94M,0.39%
2014-08-29,"4,580.27","4,571.76","4,580.27","4,553.78",354.03M,0.50%
2014-08-28,"4,557.69","4,552.55","4,565.96","4,546.62",321.03M,-0.26%
2014-08-27,"4,569.62","4,574.35","4,575.81","4,561.84",335.94M,-0.02%
2014-08-26,"4,570.64","4,563.81","4,575.59","4,556.78",342.63M,0.29%
2014-08-25,"4,557.35","4,563.72","4,571.14","4,547.78",334.63M,0.41%
2014-08-22,"4,538.55","4,534.87","4,547.24","4,521.77",329.97M,0.14%
2014-08-21,"4,532.10","4,526.72","4,534.00","4,513.81",349.36M,0.12%
