date,nasdaqndxt,vix,vxazn,vxn,vix3m,vix_term_spread,vxazn_vix_ratio,nasdaqndxt_lag1,nasdaqndxt_delta,vix_lag1,vix_delta,vxazn_lag1,vxazn_delta,vxn_lag1,vxn_delta,vix3m_lag1,vix3m_delta,amzn_return_lag1,aggregate_vol_index,amzn_close,amzn_next_return,label,score_range
2022-06-27,919.1105,3.7373,7.2652,4.6539,3.9079,-0.1706,1.9440,852.0888,67.0217,4.3031,-0.5658,6.9837,0.2815,5.0838,-0.4299,4.4875,-0.5797,-0.0592,0.3770,109.5600,0.0546,Positive,3
2022-07-04,867.0463,3.8177,7.8656,4.7524,3.9550,-0.1373,2.0603,919.1105,-52.0642,3.7373,0.0804,7.2652,0.6005,4.6539,0.0985,3.9079,0.0471,0.0546,0.3903,115.5400,-0.0172,Negative,1
2022-07-11,894.5331,3.6291,7.6396,4.5666,3.9176,-0.2884,2.1051,867.0463,27.4868,3.8177,-0.1886,7.8656,-0.2260,4.7524,-0.1858,3.9550,-0.0374,-0.0172,0.3792,113.5500,0.0781,Positive,3
2022-07-18,891.1051,3.5085,7.3609,4.3794,3.8579,-0.3495,2.0980,894.5331,-3.4280,3.6291,-0.1206,7.6396,-0.2787,4.5666,-0.1872,3.9176,-0.0596,0.0781,0.3652,122.4200,0.1024,Positive,3
2022-07-25,935.5255,3.2394,6.9365,4.0798,3.5778,-0.3384,2.1413,891.1051,44.4204,3.5085,-0.2690,7.3609,-0.4243,4.3794,-0.2995,3.8579,-0.2801,0.1024,0.3412,134.9500,0.0433,Positive,3
2022-08-01,979.2899,3.1673,5.3861,3.9869,3.4475,-0.2801,1.7005,935.5255,43.7645,3.2394,-0.0721,6.9365,-1.5504,4.0798,-0.0929,3.5778,-0.1304,0.0433,0.3050,140.8000,0.0195,Neutral,2
2022-08-08,1007.0360,2.9524,5.2280,3.8344,3.3948,-0.4424,1.7708,979.2899,27.7461,3.1673,-0.2149,5.3861,-0.1581,3.9869,-0.1525,3.4475,-0.0527,0.0195,0.2952,143.5500,-0.0371,Negative,1
2022-08-15,1038.6678,2.7666,4.9105,3.5223,3.2339,-0.4673,1.7749,1007.0360,31.6318,2.9524,-0.1858,5.2280,-0.3176,3.8344,-0.3120,3.3948,-0.1609,-0.0371,0.2768,138.2300,-0.0541,Negative,1
2022-08-22,951.0487,3.3005,5.5775,4.1117,3.6056,-0.3051,1.6899,1038.6678,-87.6191,2.7666,0.5339,4.9105,0.6670,3.5223,0.5894,3.2339,0.3716,-0.0541,0.3160,130.7500,-0.0248,Negative,1
2022-08-29,919.6624,3.6347,5.9297,4.4792,3.7193,-0.0846,1.6314,951.0487,-31.3863,3.3005,0.3342,5.5775,0.3522,4.1117,0.3675,3.6056,0.1137,-0.0248,0.3380,127.5100,0.0452,Positive,3
2022-09-05,874.2075,3.6042,5.9547,4.4820,3.6721,-0.0680,1.6522,919.6624,-45.4549,3.6347,-0.0305,5.9297,0.0250,4.4792,0.0028,3.7193,-0.0471,0.0452,0.3330,133.2700,-0.0731,Negative,1
2022-09-12,937.2825,3.3102,5.4056,4.1339,3.5182,-0.2080,1.6330,874.2075,63.0750,3.6042,-0.2940,5.9547,-0.5492,4.4820,-0.3481,3.6721,-0.1539,-0.0731,0.3096,123.5300,-0.0789,Negative,1
2022-09-19,863.0608,3.5723,6.0656,4.4875,3.7456,-0.1733,1.6980,937.2825,-74.2217,3.3102,0.2621,5.4056,0.6601,4.1339,0.3536,3.5182,0.2274,-0.0789,0.3358,113.7800,-0.0069,Neutral,2
2022-09-26,801.0634,4.4737,7.4649,5.1213,4.4057,0.0680,1.6686,863.0608,-61.9975,3.5723,0.9014,6.0656,1.3992,4.4875,0.6337,3.7456,0.6601,-0.0069,0.4083,113.0000,0.0138,Neutral,2
2022-10-03,819.5501,4.1741,7.5509,4.9313,4.2559,-0.0818,1.8090,801.0634,18.4868,4.4737,-0.2995,7.4649,0.0860,5.1213,-0.1900,4.4057,-0.1498,0.0138,0.3980,114.5600,-0.0669,Negative,1
2022-10-10,781.6391,4.5000,8.0556,5.3487,4.5388,-0.0388,1.7901,819.5501,-37.9110,4.1741,0.3259,7.5509,0.5048,4.9313,0.4174,4.2559,0.2829,-0.0669,0.4280,106.9000,0.1162,Positive,3
2022-10-17,769.0364,4.3502,8.0265,5.1407,4.4015,-0.0513,1.8451,781.6391,-12.6028,4.5000,-0.1498,8.0556,-0.0291,5.3487,-0.2080,4.5388,-0.1373,0.1162,0.4155,119.3200,-0.1333,Negative,1
2022-10-24,799.1316,4.1395,7.6063,4.9230,4.2060,-0.0666,1.8375,769.0364,30.0953,4.3502,-0.2108,8.0265,-0.4202,5.1407,-0.2177,4.4015,-0.1955,-0.1333,0.3954,103.4100,-0.1202,Negative,1
2022-10-31,807.3134,3.5889,6.1197,4.3211,3.7331,-0.1442,1.7052,799.1316,8.1818,4.1395,-0.5505,7.6063,-1.4866,4.9230,-0.6018,4.2060,-0.4729,-0.1202,0.3288,90.9800,0.1078,Positive,3
2022-11-07,767.5179,3.3767,6.4123,4.2767,3.6416,-0.2649,1.8990,807.3134,-39.7956,3.5889,-0.2122,6.1197,0.2926,4.3211,-0.0444,3.7331,-0.0915,0.1078,0.3243,100.7900,-0.0660,Negative,1
2022-11-14,854.9331,3.2908,6.6370,4.1630,3.6236,-0.3328,2.0169,767.5179,87.4152,3.3767,-0.0860,6.4123,0.2247,4.2767,-0.1137,3.6416,-0.0180,-0.0660,0.3319,94.1400,-0.0078,Neutral,2
2022-11-21,827.2175,3.1008,6.5247,4.0216,3.4280,-0.3273,2.1042,854.9331,-27.7156,3.2908,-0.1900,6.6370,-0.1123,4.1630,-0.1414,3.6236,-0.1955,-0.0078,0.3155,93.4100,0.0077,Neutral,2
2022-11-28,829.1298,3.0800,6.2972,3.9259,3.4530,-0.3730,2.0446,827.2175,1.9123,3.1008,-0.0208,6.5247,-0.2274,4.0216,-0.0957,3.4280,0.0250,0.0077,0.3090,94.1300,-0.0535,Negative,1
2022-12-05,845.1537,2.8775,5.9367,3.6277,3.3129,-0.4354,2.0631,829.1298,16.0239,3.0800,-0.2025,6.2972,-0.3606,3.9259,-0.2982,3.4530,-0.1401,-0.0535,0.2889,89.0900,-0.0138,Negative,1
2022-12-12,858.3403,3.4669,6.4595,4.1686,3.5598,-0.0929,1.8632,845.1537,13.1866,2.8775,0.5894,5.9367,0.5228,3.6277,0.5408,3.3129,0.2468,-0.0138,0.3303,87.8600,-0.0297,Negative,1
