date,amzn,amzn_volume,amzn_change_pct,ixic,ixic_volume,ixic_change_pct,nasdaqndxt,sp500_25,sp500_25_change_pct,spx,spx_change_pct,vixcls,vxazn,amzn_lag1,amzn_delta,amzn_volume_lag1,amzn_volume_delta,amzn_change_pct_lag1,amzn_change_pct_delta,ixic_lag1,ixic_delta,ixic_volume_lag1,ixic_volume_delta,ixic_change_pct_lag1,ixic_change_pct_delta,nasdaqndxt_lag1,nasdaqndxt_delta,sp500_25_lag1,sp500_25_delta,sp500_25_change_pct_lag1,sp500_25_change_pct_delta,spx_lag1,spx_delta,spx_change_pct_lag1,spx_change_pct_delta,vixcls_lag1,vixcls_delta,vxazn_lag1,vxazn_delta,amzn_next_return,stage1_significant,stage2_direction,label
2011-03-02,8.6,18.457301937048424,1.53,2748.07,20.014131542791247,0.39,1463.86,306.13,0.39,1308.4,0.16,20.7,35.82,8.47,0.13,18.577257059545126,-13220000.0,-2.19,3.72,2737.41,10.66,20.179228080697257,-88330000.0,-1.61,2.0,1452.16,11.7,304.94,1.19,-1.75,2.14,1306.3,2.1,-1.57,1.73,21.01,-0.31,36.53,-0.71,0.0047,0,1,Neutral
2011-03-03,8.64,18.23169705636507,0.47,2798.74,20.03792808526239,1.84,1494.49,311.23,1.67,1331.0,1.73,18.6,33.91,8.6,0.04,18.457301937048424,-20950000.0,1.53,-1.06,2748.07,50.67,20.014131542791247,11850000.0,0.39,1.45,1463.86,30.63,306.13,5.1,0.39,1.28,1308.4,22.6,0.16,1.57,20.7,-2.1,35.82,-1.91,-0.0069,0,0,Neutral
2011-03-04,8.58,18.4054655882992,-0.69,2784.67,20.00895630712722,-0.5,1482.42,309.07,-0.69,1321.2,-0.74,19.06,34.28,8.64,-0.06,18.23169705636507,15710000.0,0.47,-1.16,2798.74,-14.07,20.03792808526239,-14390000.0,1.84,-2.34,1494.49,-12.07,311.23,-2.16,1.67,-2.36,1331.0,-9.8,1.73,-2.47,18.6,0.46,33.91,0.37,-0.0152,1,0,Negative
2011-03-07,8.45,18.59185709806805,-1.52,2745.63,20.19051834357574,-1.4,1456.03,306.06,-0.97,1310.1,-0.84,20.66,36.38,8.58,-0.13,18.4054655882992,20180000.0,-0.69,-0.83,2784.67,-39.04,20.00895630712722,97460000.0,-0.5,-0.9,1482.42,-26.39,309.07,-3.01,-0.69,-0.28,1321.2,-11.1,-0.74,-0.1,19.06,1.6,34.28,2.1,-0.013,0,0,Neutral
2011-03-08,8.34,18.252025389759346,-1.3,2765.77,19.982146159935652,0.73,1464.73,308.1,0.67,1321.8,0.89,19.82,36.16,8.45,-0.11,18.59185709806805,-34190000.0,-1.52,0.22,2745.63,20.14,20.19051834357574,-110410000.0,-1.4,2.13,1456.03,8.7,306.06,2.04,-0.97,1.64,1310.1,11.7,-0.84,1.73,20.66,-0.84,36.38,-0.22,0.0132,0,1,Neutral
2011-03-09,8.45,18.7726747564054,1.32,2751.72,20.036060967830245,-0.51,1444.62,308.73,0.2,1320.0,-0.14,20.22,36.93,8.34,0.11,18.252025389759346,57710000.0,-1.3,2.62,2765.77,-14.05,19.982146159935652,26400000.0,0.73,-1.24,1464.73,-20.11,308.1,0.63,0.67,-0.47,1321.8,-1.8,0.89,-1.03,19.82,0.4,36.16,0.77,-0.0166,1,0,Negative
2011-03-10,8.31,18.603085638940264,-1.66,2701.02,20.26932451695564,-1.84,1413.04,305.53,-1.04,1295.1,-1.89,21.88,37.67,8.45,-0.14,18.7726747564054,-22180000.0,1.32,-2.98,2751.72,-50.7,20.036060967830245,132140000.0,-0.51,-1.33,1444.62,-31.58,308.73,-3.2,0.2,-1.24,1320.0,-24.9,-0.14,-1.75,20.22,1.66,36.93,0.74,0.0108,0,1,Neutral
2011-03-11,8.4,18.338819728325095,1.08,2715.61,19.987837266216236,0.54,1422.97,307.12,0.52,1304.3,0.71,20.08,36.67,8.31,0.09,18.603085638940264,-27870000.0,-1.66,2.74,2701.02,14.59,20.26932451695564,-155820000.0,-1.84,2.38,1413.04,9.93,305.53,1.59,-1.04,1.56,1295.1,9.2,-1.89,2.6,21.88,-1.8,37.67,-1.0,-0.0071,0,0,Neutral
2011-03-14,8.34,18.20351927674115,-0.71,2700.97,19.962332201885808,-0.54,1414.98,303.68,-1.12,1296.4,-0.61,21.13,36.59,8.4,-0.06,18.338819728325095,-11660000.0,1.08,-1.79,2715.61,-14.64,19.987837266216236,-12070000.0,0.54,-1.08,1422.97,-7.99,307.12,-3.44,0.52,-1.64,1304.3,-7.9,0.71,-1.32,20.08,1.05,36.67,-0.08,-0.0108,0,0,Neutral
2011-03-15,8.25,18.40820323256681,-1.08,2667.33,20.26188096091256,-1.25,1393.66,301.14,-0.84,1281.9,-1.12,24.32,37.1,8.34,-0.09,18.20351927674115,18280000.0,-0.71,-0.37,2700.97,-33.64,19.962332201885808,163180000.0,-0.54,-0.71,1414.98,-21.32,303.68,-2.54,-1.12,0.28,1296.4,-14.5,-0.61,-0.51,21.13,3.19,36.59,0.51,-0.0024,0,0,Neutral
